Representative,Financials,Utilities,Consumer Discretionary,Real Estate,Industrials,Energy,Consumer Staples,Materials,Health Care,Communication Services,Technology
Shelley Moore Capito,0.4646869717245048,0.0208725151159698,0.05954341134988028,0.007613236671230237,0.08218957814768538,0.03171086695305325,0.0828742081151957,0.017557328647517682,0.11315417320473904,0.011739008719871855,0.10805870135035192
Peter J. Visclosky,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
David B. Mckinley,0.034940104130215005,0.0,0.18768126670687665,0.0,0.08973041691147765,0.0,0.25801009629447946,0.04520491222931924,0.21725280501675043,0.0349140944264922,0.1322663042843893
David Cheston Rouzer,0.38633363154609857,0.0,0.015316325907209234,0.0,0.15670816906365279,0.0,0.13170397484526167,0.0,0.0,0.17392315979565856,0.13601473884211923
Kelly Loeffler,0.5071903848906912,0.0,0.012481642145002525,0.0,0.21382617790465608,0.1600920612772773,0.009490971065666917,0.03539095066063717,0.019415340307318937,0.008226438570818716,0.03388603317793106
Gerald E. Connolly,0.10585459,0.665933493,0.0,0.0,0.0,0.0,0.0,0.0,0.228211917,0.0,0.0
Austin Scott,0.0,0.0,0.0034626476172836007,0.0,0.09511024551385022,0.0,0.0,0.0,0.0,0.0,0.9014271068688662
John Curtis,0.08905272672519246,0.0,0.15720869440645474,0.0,0.05025388408132084,0.02445771593172007,0.05301955814648855,0.01001966077456453,0.09595906455564929,0.16075175990728105,0.3592769354713285
Andrew Garbarino,0.0,0.0,0.5538902495538903,0.0,0.0,0.37177281737177287,0.0,0.0,0.07433693307433692,0.0,0.0
Kathy Manning,0.2287760068670288,0.010355093770088749,0.09953625013068557,0.0,0.015851241136363475,0.0160816267741798,0.05216654004601814,0.07656121174436156,0.10414511205140525,0.04778997417043372,0.3487369433094349
Beto O'Rourke,0.5934301057686511,0.015182224477542881,0.024151550144037463,0.0,0.17616399435909083,0.046775362719107205,0.07000449355012324,0.017457370730197062,0.0257266512965359,0.0,0.03110824695471423
Bob Gibbs,0.1139472346997411,0.0,0.004796420242437838,0.001905320574418726,0.19177162673020576,0.1294027409071271,0.0988985156757829,0.006171490069910168,0.12341619433646674,0.04825547974226723,0.28143497702164255
Carlos Curbelo,0.09927945494852562,0.014134392766414986,0.185963325367553,0.022370801268756707,0.14163030858109524,0.04388904341492269,0.0252151059293291,0.0165460784428831,0.0682316484576855,0.24694532880660236,0.1357945120162318
